LevelFileVersion,1,,,,,,,,,,
LevelNameEn,«Helix» Nebula,,,,,,,,,,
LevelNameRu,Туманность Улитка,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
green,green,green,green,green,green,green,green,green,green,green,green
green,,,,,,,,,,,green
green,,green,green,green,green,green,green,green,green,,green
green,,green,,,,,,,green,,green
green,,green,,green,green,green,green,,green,,green
green,,green,,green,green,green,green,,green,,green
green,,green,,,,,,,green,,green
green,,green,green,green,green,green,green,green,green,,green
green,,,,,,,,,,,green
green,green,green,green,green,green,green,green,green,green,green,green
