LevelFileVersion,1,,,,,,,,,,
LevelNameEn,«Horsehead» Nebula,,,,,,,,,,
LevelNameRu,Туманность «Конская Голова»,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
green,green,green,green,green,green,green,green,green,green,green,green
,,,,,,,,green,,green,
,green,,green,,,,,green,,green,
,green,,green,,,,,green,,green,
,green,,green,green,green,green,green,green,,green,
,green,,green,,,,,green,,green,
,green,,green,,,,,green,,green,
,green,,green,,,,,green,,green,
,green,,green,,,,,,,,
green,green,green,green,green,green,green,green,green,green,green,green
